model,accuracy,precision,churn_recall,predicted_churn_count,tn,fp,fn,tp
baseline,0.8312611012433393,0.0,0.0,0,936,0,190,0
logistic_regression,0.7984014209591475,0.4481792717086835,0.8421052631578947,357,739,197,30,160
decision_tree,0.7770870337477798,0.42077922077922075,0.8526315789473684,385,713,223,28,162
random_forest,0.8801065719360568,0.6014760147601476,0.8578947368421053,271,828,108,27,163
