OrderActivityGroup,订单范围,用户数,用户占比,流失人数,流失率,平均订单数,平均优惠券数,平均返现
低活跃,"(0.999, 2.0]",4034,0.71651865008881,704,0.1745166088249876,1.565939514129896,1.1038671294000992,170.77332672285573
中活跃,"(2.0, 3.0]",371,0.06589698046181172,68,0.18328840970350405,3.0,1.908355795148248,174.6012129380054
高活跃,"(3.0, 16.0]",1225,0.21758436944937834,176,0.1436734693877551,7.546938775510204,3.6775510204081634,199.25633469387756
